Dates,Category,Descript,DayOfWeek,PdDistrict
2006-04-06 03:00:00,DRUG/NARCOTIC,POSSESSION OF COCAINE,Thursday,TENDERLOIN
2006-04-06 00:56:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,INGLESIDE
2006-04-06 00:01:00,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT BY EMPLOYEE",Thursday,SOUTHERN
2006-04-05 23:02:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Wednesday,MISSION
2006-04-05 22:15:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Wednesday,CENTRAL
2006-04-05 22:14:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Wednesday,SOUTHERN
2006-04-05 21:46:00,DRUG/NARCOTIC,SALE OF CONTROLLED SUBSTANCE,Wednesday,SOUTHERN
2006-04-05 21:31:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Wednesday,TENDERLOIN
2006-04-05 20:49:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Wednesday,SOUTHERN
2006-04-05 19:00:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,TENDERLOIN
2006-04-05 19:00:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Wednesday,MISSION
2006-04-05 18:33:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Wednesday,NORTHERN
2006-04-05 18:33:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,NORTHERN
2006-04-05 18:00:00,DRUG/NARCOTIC,TRANSPORTATION OF MARIJUANA,Wednesday,NORTHERN
2006-04-05 17:57:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Wednesday,SOUTHERN
2006-04-05 17:27:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Wednesday,TENDERLOIN
2006-04-05 17:00:00,DRUG/NARCOTIC,POSSESSION OF AMPHETAMINE FOR SALES,Wednesday,TARAVAL
2006-04-05 16:59:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Wednesday,MISSION
2006-04-05 16:59:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,MISSION
2006-04-05 16:15:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Wednesday,SOUTHERN
2006-04-05 16:15:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Wednesday,TENDERLOIN
2006-04-05 16:00:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Wednesday,MISSION
2006-04-05 16:00:00,EMBEZZLEMENT,EMBEZZLED VEHICLE,Wednesday,SOUTHERN
2006-04-05 15:56:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Wednesday,MISSION
2006-04-05 15:56:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,MISSION
2006-04-05 15:40:00,DRUG/NARCOTIC,SALE OF COCAINE,Wednesday,NORTHERN
2006-04-05 15:25:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Wednesday,SOUTHERN
2006-04-05 15:20:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Wednesday,SOUTHERN
2006-04-05 15:12:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Wednesday,BAYVIEW
2006-04-05 14:39:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Wednesday,TENDERLOIN
2006-04-05 14:35:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Wednesday,SOUTHERN
2006-04-05 14:27:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Wednesday,SOUTHERN
2006-04-05 14:27:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,SOUTHERN
2006-04-05 14:20:00,DRUG/NARCOTIC,POSSESSION OF HALLUCINOGENIC FOR SALES,Wednesday,PARK
2006-04-05 14:20:00,DRUG/NARCOTIC,SALE OF HALLUCINOGENIC,Wednesday,PARK
2006-04-05 14:10:00,DRUG/NARCOTIC,SALE OF MARIJUANA,Wednesday,PARK
2006-04-05 14:10:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Wednesday,PARK
2006-04-05 14:05:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Wednesday,TENDERLOIN
2006-04-05 14:05:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Wednesday,TENDERLOIN
2006-04-05 14:05:00,DRUG/NARCOTIC,SALE OF MARIJUANA,Wednesday,NORTHERN
2006-04-05 14:00:00,DRUG/NARCOTIC,SALE OF MARIJUANA,Wednesday,PARK
2006-04-05 14:00:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Wednesday,PARK
2006-04-05 11:59:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Wednesday,TENDERLOIN
2006-04-05 11:15:00,DRUG/NARCOTIC,POSSESSION OF AMPHETAMINE FOR SALES,Wednesday,SOUTHERN
2006-04-05 11:01:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,MISSION
2006-04-05 10:34:00,DRUG/NARCOTIC,"CONTROLLED SUBSTANCE VIOLATION, LOITERING FOR",Wednesday,TENDERLOIN
2006-04-05 08:49:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,TENDERLOIN
2006-04-05 08:49:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Wednesday,TENDERLOIN
2006-04-05 08:37:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Wednesday,MISSION
2006-04-05 08:37:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Wednesday,MISSION
2006-04-05 02:25:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE FOR SALE,Wednesday,BAYVIEW
2006-04-05 01:12:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Wednesday,INGLESIDE
2006-04-04 23:10:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Tuesday,TENDERLOIN
2006-04-04 22:10:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Tuesday,SOUTHERN
2006-04-04 21:40:00,DRUG/NARCOTIC,POSSESSION OF COCAINE,Tuesday,TENDERLOIN
2006-04-04 21:40:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Tuesday,TENDERLOIN
2006-04-04 21:40:00,DRUG/NARCOTIC,"CONTROLLED SUBSTANCE VIOLATION, LOITERING FOR",Tuesday,TENDERLOIN
2006-04-04 21:00:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,NORTHERN
2006-04-04 20:41:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Tuesday,NORTHERN
2006-04-04 19:54:00,SUICIDE,ATTEMPTED SUICIDE BY JUMPING,Tuesday,SOUTHERN
2006-04-04 19:35:00,DRUG/NARCOTIC,UNDER THE INFLUENCE OF CONTROLLED SUBSTANCES,Tuesday,MISSION
2006-04-04 19:10:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Tuesday,MISSION
2006-04-04 18:45:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Tuesday,MISSION
2006-04-04 18:40:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Tuesday,NORTHERN
2006-04-04 18:40:00,DRUG/NARCOTIC,POSSESSION OF AMPHETAMINE FOR SALES,Tuesday,NORTHERN
2006-04-04 18:20:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Tuesday,TENDERLOIN
2006-04-04 18:20:00,DRUG/NARCOTIC,POSSESSION OF AMPHETAMINE,Tuesday,TENDERLOIN
2006-04-04 18:07:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Tuesday,TENDERLOIN
2006-04-04 17:40:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,TENDERLOIN
2006-04-04 16:46:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Tuesday,MISSION
2006-04-04 15:31:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Tuesday,TENDERLOIN
2006-04-04 15:17:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Tuesday,TENDERLOIN
2006-04-04 15:17:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Tuesday,TENDERLOIN
2006-04-04 15:00:00,DRUG/NARCOTIC,POSSESSION OF AMPHETAMINE,Tuesday,NORTHERN
2006-04-04 14:12:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Tuesday,SOUTHERN
2006-04-04 14:02:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Tuesday,SOUTHERN
2006-04-04 14:02:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Tuesday,SOUTHERN
2006-04-04 13:31:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Tuesday,SOUTHERN
2006-04-04 13:31:00,DRUG/NARCOTIC,SALE OF MARIJUANA,Tuesday,SOUTHERN
2006-04-04 12:56:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Tuesday,SOUTHERN
2006-04-04 12:56:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Tuesday,SOUTHERN
2006-04-04 12:40:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,MISSION
2006-04-04 12:40:00,DRUG/NARCOTIC,POSSESSION OF COCAINE,Tuesday,MISSION
2006-04-04 12:33:00,DRUG/NARCOTIC,POSSESSION OF HEROIN FOR SALES,Tuesday,TENDERLOIN
2006-04-04 12:20:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,MISSION
2006-04-04 03:54:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,BAYVIEW
2006-04-04 01:13:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Tuesday,RICHMOND
2006-04-04 01:03:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,MISSION
2006-04-04 00:08:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Tuesday,TENDERLOIN
2006-04-03 23:27:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Monday,TENDERLOIN
2006-04-03 20:39:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Monday,PARK
2006-04-03 20:35:00,DRUG/NARCOTIC,POSSESSION OF COCAINE FOR SALES,Monday,TENDERLOIN
2006-04-03 20:22:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Monday,TENDERLOIN
2006-04-03 20:15:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Monday,NORTHERN
2006-04-03 19:45:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Monday,NORTHERN
2006-04-03 19:35:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Monday,TENDERLOIN
2006-04-03 19:26:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,MISSION
2006-04-03 19:26:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Monday,MISSION
2006-04-03 19:26:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Monday,MISSION
2006-04-03 19:20:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Monday,NORTHERN
2006-04-03 18:15:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Monday,TENDERLOIN
2006-04-03 18:00:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Monday,SOUTHERN
2006-04-03 17:43:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Monday,NORTHERN
2006-04-03 17:25:00,DRUG/NARCOTIC,SALE OF AMPHETAMINE,Monday,SOUTHERN
2006-04-03 16:45:00,DRUG/NARCOTIC,SALE OF MARIJUANA,Monday,SOUTHERN
2006-04-03 16:30:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Monday,SOUTHERN
2006-04-03 16:13:00,DRUG/NARCOTIC,POSSESSION OF AMPHETAMINE FOR SALES,Monday,SOUTHERN
2006-04-03 16:13:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Monday,SOUTHERN
2006-04-03 16:13:00,DRUG/NARCOTIC,SALE OF AMPHETAMINE,Monday,SOUTHERN
2006-04-03 15:36:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Monday,SOUTHERN
2006-04-03 15:20:00,DRUG/NARCOTIC,SALE OF HEROIN,Monday,MISSION
2006-04-03 15:00:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Monday,PARK
2006-04-03 14:30:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Monday,MISSION
2006-04-03 14:22:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Monday,MISSION
2006-04-03 14:22:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,MISSION
2006-04-03 14:00:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Monday,MISSION
2006-04-03 13:58:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,MISSION
2006-04-03 13:58:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Monday,MISSION
2006-04-03 13:35:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,MISSION
2006-04-03 13:30:00,DRUG/NARCOTIC,POSSESSION OF HEROIN FOR SALES,Monday,BAYVIEW
2006-04-03 12:23:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Monday,TENDERLOIN
2006-04-03 10:41:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Monday,NORTHERN
2006-04-03 09:22:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Monday,MISSION
2006-04-03 08:41:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Monday,TENDERLOIN
2006-04-03 07:58:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Monday,NORTHERN
2006-04-03 03:28:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Monday,NORTHERN
2006-04-03 00:13:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Monday,TENDERLOIN
2006-04-03 00:01:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Monday,TENDERLOIN
2006-03-26 22:38:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Sunday,TARAVAL
2006-03-26 22:36:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,TENDERLOIN
2006-03-26 22:36:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Sunday,TENDERLOIN
2006-03-26 22:01:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Sunday,TENDERLOIN
2006-03-26 21:23:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Sunday,TENDERLOIN
2006-03-26 21:23:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Sunday,TENDERLOIN
2006-03-26 19:00:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Sunday,TARAVAL
2006-03-26 16:15:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Sunday,PARK
2006-03-26 14:45:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Sunday,INGLESIDE
2006-03-26 14:15:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,SOUTHERN
2006-03-26 14:15:00,DRUG/NARCOTIC,POSSESSION OF METH-AMPHETAMINE,Sunday,SOUTHERN
2006-03-26 12:00:00,EMBEZZLEMENT,"EMBEZZLEMENT, GRAND THEFT BY EMPLOYEE",Sunday,NORTHERN
2006-03-26 10:38:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Sunday,TENDERLOIN
2006-03-26 09:52:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Sunday,MISSION
2006-03-26 02:58:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Sunday,MISSION
2006-03-26 00:30:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Sunday,TARAVAL
2006-03-26 00:05:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Sunday,MISSION
2006-03-25 23:58:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Saturday,CENTRAL
2006-03-25 23:05:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Saturday,CENTRAL
2006-03-25 22:47:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Saturday,TENDERLOIN
2006-03-25 21:49:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Saturday,SOUTHERN
2006-03-25 21:49:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Saturday,SOUTHERN
2006-03-25 21:30:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,MISSION
2006-03-25 20:42:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,TENDERLOIN
2006-03-25 20:42:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Saturday,TENDERLOIN
2006-03-25 19:40:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Saturday,PARK
2006-03-25 19:25:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Saturday,TENDERLOIN
2006-03-25 18:50:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Saturday,TENDERLOIN
2006-03-25 17:25:00,DRUG/NARCOTIC,SALE OF CONTROLLED SUBSTANCE,Saturday,SOUTHERN
2006-03-25 17:25:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Saturday,SOUTHERN
2006-03-25 14:12:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Saturday,MISSION
2006-03-25 12:54:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Saturday,TENDERLOIN
2006-03-25 12:54:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Saturday,TENDERLOIN
2006-03-25 12:54:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Saturday,TENDERLOIN
2006-03-25 11:50:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Saturday,MISSION
2006-03-25 11:35:00,DRUG/NARCOTIC,POSSESSION OF COCAINE,Saturday,MISSION
2006-03-25 11:20:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,MISSION
2006-03-25 11:00:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,MISSION
2006-03-25 00:06:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Saturday,NORTHERN
2006-03-25 00:06:00,DRUG/NARCOTIC,POSSESSION OF AMPHETAMINE,Saturday,NORTHERN
2006-03-25 00:06:00,DRUG/NARCOTIC,MAINTAINING PREMISE WHERE NARCOTICS ARE SOLD/USED,Saturday,NORTHERN
2006-03-24 22:00:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Friday,MISSION
2006-03-24 19:40:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Friday,PARK
2006-03-24 18:57:00,DRUG/NARCOTIC,SALE OF CONTROLLED SUBSTANCE,Friday,SOUTHERN
2006-03-24 18:25:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Friday,SOUTHERN
2006-03-24 18:25:00,DRUG/NARCOTIC,SALE OF CONTROLLED SUBSTANCE,Friday,SOUTHERN
2006-03-24 17:42:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Friday,TENDERLOIN
2006-03-24 17:36:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Friday,MISSION
2006-03-24 17:30:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Friday,MISSION
2006-03-24 15:00:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,MISSION
2006-03-24 14:45:00,DRUG/NARCOTIC,SALE OF MARIJUANA,Friday,PARK
2006-03-24 14:25:00,DRUG/NARCOTIC,SALE OF MARIJUANA,Friday,PARK
2006-03-24 13:49:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Friday,TARAVAL
2006-03-24 13:30:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Friday,SOUTHERN
2006-03-24 12:33:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,MISSION
2006-03-24 12:00:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,MISSION
2006-03-24 11:30:00,DRUG/NARCOTIC,SALE OF COCAINE,Friday,NORTHERN
2006-03-24 11:30:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,MISSION
2006-03-24 11:28:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Friday,MISSION
2006-03-24 11:28:00,DRUG/NARCOTIC,POSSESSION OF COCAINE,Friday,MISSION
2006-03-24 10:55:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Friday,NORTHERN
2006-03-24 10:35:00,DRUG/NARCOTIC,SALE OF COCAINE,Friday,NORTHERN
2006-03-24 10:20:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Friday,SOUTHERN
2006-03-24 10:14:00,DRUG/NARCOTIC,"CONTROLLED SUBSTANCE VIOLATION, LOITERING FOR",Friday,TENDERLOIN
2006-03-24 10:14:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Friday,TENDERLOIN
2006-03-24 07:17:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Friday,TARAVAL
2006-03-24 07:17:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Friday,TARAVAL
2006-03-24 03:41:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Friday,BAYVIEW
2006-03-24 03:19:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Friday,TARAVAL
2006-03-24 03:19:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Friday,TARAVAL
2006-03-23 23:55:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,INGLESIDE
2006-03-23 23:22:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,SOUTHERN
2006-03-23 22:44:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Thursday,MISSION
2006-03-23 17:36:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Thursday,CENTRAL
2006-03-23 17:36:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Thursday,INGLESIDE
2006-03-23 17:20:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,TENDERLOIN
2006-03-23 17:01:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE,Thursday,TENDERLOIN
2006-03-23 17:01:00,DRUG/NARCOTIC,SALE OF CONTROLLED SUBSTANCE,Thursday,TENDERLOIN
2006-03-23 17:01:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Thursday,TENDERLOIN
2006-03-23 16:46:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,BAYVIEW
2006-03-23 16:22:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA FOR SALES,Thursday,TENDERLOIN
2006-03-23 16:02:00,DRUG/NARCOTIC,SALE OF MARIJUANA,Thursday,TENDERLOIN
2006-03-23 15:43:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Thursday,TENDERLOIN
2006-03-23 15:38:00,DRUG/NARCOTIC,POSSESSION OF HEROIN,Thursday,TENDERLOIN
2006-03-23 15:18:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,BAYVIEW
2006-03-23 15:15:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Thursday,MISSION
2006-03-23 15:13:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Thursday,SOUTHERN
2006-03-23 14:32:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Thursday,MISSION
2006-03-23 14:32:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Thursday,MISSION
2006-03-23 13:55:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Thursday,BAYVIEW
2006-03-23 13:07:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Thursday,TENDERLOIN
2006-03-23 12:28:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,PARK
2006-03-23 12:28:00,DRUG/NARCOTIC,POSSESSION OF MARIJUANA,Thursday,PARK
2006-03-23 11:46:00,DRUNKENNESS,UNDER INFLUENCE OF ALCOHOL IN A PUBLIC PLACE,Thursday,MISSION
2006-03-23 11:46:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,MISSION
2006-03-23 11:15:00,DRUG/NARCOTIC,SALE OF BASE/ROCK COCAINE,Thursday,CENTRAL
2006-03-23 10:05:00,DRUG/NARCOTIC,UNDER THE INFLUENCE OF CONTROLLED SUBSTANCES,Thursday,MISSION
2006-03-23 09:30:00,DRUG/NARCOTIC,POSSESSION OF NARCOTICS PARAPHERNALIA,Thursday,MISSION
2006-03-23 09:28:00,DRUG/NARCOTIC,"CONTROLLED SUBSTANCE VIOLATION, LOITERING FOR",Thursday,TENDERLOIN
2006-03-23 02:10:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE,Thursday,SOUTHERN
2006-03-23 00:57:00,DRUG/NARCOTIC,POSSESSION OF CONTROLLED SUBSTANCE FOR SALE,Thursday,NORTHERN
2006-03-23 00:23:00,DRUG/NARCOTIC,POSSESSION OF BASE/ROCK COCAINE FOR SALE,Thursday,SOUTHERN
